,docket_id,absolute_url,case_name,Status,EO Number,EO Title,,,,,,,,
0,69607847,https://www.courtlistener.com/docket/69607847/national-association-of-diversity-officers-in-higher-education-v-trump/,National Association of Diversity Officers in Higher Education v. Trump,"district court, prelim injunction / temp. restraining order",14151,Ending Radical Government DEI Programs and Preferencing,,,,,,,,
1,69563661,https://www.courtlistener.com/docket/69563661/casa-inc-v-trump/,Casa Inc. v. Trump,appealed to court of appeals,,Protecting the Meaning and Value of American Citizenship,,,,,,,,
2,69609079,https://www.courtlistener.com/docket/69609079/does-1-9-v-department-of-justice/,DOES 1-9 v. DEPARTMENT OF JUSTICE,,,Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce,,,,,Schedule F Order,,,
3,69588089,https://www.courtlistener.com/docket/69588089/american-federation-of-government-employees-afl-cio-v-trump/,"AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES, AFL-CIO v. TRUMP",,,Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce,,,,,,,,
4,69607077,https://www.courtlistener.com/docket/69607077/alliance-for-retired-americans-v-bessent/,ALLIANCE FOR RETIRED AMERICANS v. BESSENT,,DOGE formation,"Establishing and Implementing the President's ""Department of Government Efficiency""",,,,,,,,
5,69610323,https://www.courtlistener.com/docket/69610323/american-federation-of-government-employees-afl-cio-v-ezell/,"American Federation of Government Employees, AFL-CIO v. Ezell",,,multiple EOs that shrink size of federal workforce - may need to extrapolate,,,,,,,OBM order,
6,69561497,https://www.courtlistener.com/docket/69561497/state-of-new-jersey-v-trump/,State of New Jersey v. Trump,,,Protecting the Meaning and Value of American Citizenship,,,,,birthright citizenship,,,
7,69583571,https://www.courtlistener.com/docket/69583571/national-council-of-nonprofits-v-office-of-management-and-budget/,NATIONAL COUNCIL OF NONPROFITS v. OFFICE OF MANAGEMENT AND BUDGET,,,"Ending Radical and Wasteful Government DEI Programs and Preferencing
Defending Women from Gender Ideology Extremism and Restoring Biological Truth to the Federal Government
Protecting the American People Against Invasion
Reevaluating and Realigning United States Foreign Aid
Unleashing American Energy
Enforcing the Hyde Amendment",,,,,paused funds,,,
8,69560588,https://www.courtlistener.com/docket/69560588/doe-v-trump/,Doe v. Trump,,,Protecting the Meaning and Value of American Citizenship,,,,,,,,
9,69560537,https://www.courtlistener.com/docket/69560537/national-treasury-employees-union-v-trump/,NATIONAL TREASURY EMPLOYEES UNION v. TRUMP,,,Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce,,,,,,,,
10,69609596,https://www.courtlistener.com/docket/69609596/federal-bureau-of-investigation-agents-association-v-department-of-justice/,FEDERAL BUREAU OF INVESTIGATION AGENTS ASSOCIATION v. DEPARTMENT OF JUSTICE,,"Jan 6, 2021",N/A,,,,,,,,
11,69632418,https://www.courtlistener.com/docket/69632418/storch-v-hegseth/,STORCH v. HEGSETH,,,N/A,,,,,,,,
